Mon,Tue,Wed,Thu,Fri,Sat
23,26,29,30,25,16
32,39,43,42,32,18
35,37,41,41,32,15
11,41,44,45,38,14
10,52,60,52,46,21
35,47,48,46,43,21
37,40,36,41,40,23
43,55,49,52,49,23
41,52,52,51,44,22
42,52,50,65,7,15
10,34,48,47,42,23
40,51,56,53,47,25
36,51,44,51,42,24
10,48,50,46,40,26
41,50,51,52,43,29
44,51,55,50,46,29
41,59,59,51,41,25
40,52,50,53,42,24
40,55,52,49,39,19
9,37,42,45,36,24
